group,geno,P1,P2,P3,P4,P5,P6,P7,P8,P9
Pohang15,PO010715_02,0.045,0.001,0.884,0.065,0.003,0,0.001,0.001,0
Pohang15,PO010715_04,0.009,0,0.979,0.003,0,0.005,0.002,0,0.002
Pohang15,PO010715_06,0.007,0.001,0.968,0,0.001,0,0,0.023,0
Pohang15,PO010715_08,0.012,0,0.984,0,0,0.001,0,0,0.002
Pohang15,PO010715_10,0.003,0.001,0.993,0.001,0,0,0,0,0
Pohang15,PO010715_11,0.011,0.01,0.02,0.003,0,0,0.95,0.001,0.005
Pohang15,PO010715_12,0.018,0.001,0.963,0.001,0.012,0.001,0,0.002,0.001
Pohang15,PO010715_17,0.004,0.001,0.918,0.005,0.005,0.001,0.004,0.062,0
Pohang15,PO010715_19,0.003,0.001,0.985,0.001,0.001,0,0.003,0.001,0.005
Pohang15,PO010715_27,0.017,0.001,0.944,0.015,0.003,0.001,0.005,0.006,0.009
Pohang15,PO010715_28,0.037,0.027,0.886,0.004,0.041,0.003,0.001,0.001,0
Pohang15,PO010715_29,0.005,0.004,0.981,0.002,0,0.001,0.001,0.003,0.004
Pohang15,PO020515_01,0.017,0.001,0.949,0.002,0.001,0,0.002,0.022,0.005
Pohang15,PO020515_03,0.002,0,0.985,0,0.001,0.001,0.003,0.006,0.001
Pohang15,PO020515_05,0.004,0,0.985,0.001,0.004,0,0.002,0,0.003
Pohang15,PO020515_06,0.077,0.003,0.009,0.049,0,0,0.757,0.001,0.103
Pohang15,PO020515_08,0.002,0,0.994,0,0.001,0.001,0,0,0.001
Pohang15,PO020515_09,0.008,0.004,0.971,0.005,0,0.001,0.006,0,0.005
Pohang15,PO020515_10,0.028,0,0.907,0.01,0,0,0.005,0.05,0
Pohang15,PO020515_14,0.019,0.008,0.954,0.001,0,0.001,0.007,0.002,0.009
Pohang15,PO020515_15,0.019,0.026,0.927,0.026,0,0.001,0.001,0,0
Pohang15,PO020515_16,0.054,0.012,0.929,0,0.001,0,0.003,0,0
Pohang15,PO020515_17,0.037,0.002,0.88,0.004,0.003,0,0.001,0.073,0
Pohang15,PO031715_03,0.02,0.013,0.957,0.004,0.002,0,0,0.003,0
Pohang15,PO031715_04,0.011,0,0.95,0.002,0.006,0.005,0.015,0.007,0.004
Pohang15,PO031715_13,0.078,0.039,0.845,0,0,0.005,0,0,0.033
Pohang15,PO031715_20,0.013,0.013,0.9,0,0.061,0.012,0,0,0
Pohang15,PO031715_23,0.052,0.003,0.913,0.005,0.007,0.004,0.015,0,0
Pohang15,PO031715_24,0.003,0.001,0.995,0,0,0,0,0,0
Pohang15,PO010715_26,0.013,0.006,0.976,0.001,0,0.001,0.001,0,0.001
Pohang15,PO010715_07,0.003,0.001,0.99,0.001,0.001,0.002,0.002,0,0
Geoje15,GE011215_01,0.029,0.001,0.805,0.004,0.002,0.002,0.001,0,0.156
Geoje15,GE011215_07,0.028,0.003,0.958,0.008,0.001,0,0.001,0,0
Geoje15,GE011215_08,0.061,0.004,0.93,0.003,0,0.001,0.001,0,0
Geoje15,GE011215_09,0.076,0.004,0.874,0.004,0.003,0.002,0.001,0.001,0.035
Geoje15,GE011215_10,0.027,0.002,0.952,0.001,0.002,0.003,0.001,0.002,0.01
Geoje15,GE011215_14,0.002,0.001,0.98,0,0.015,0,0,0.002,0
Geoje15,GE011215_15,0.042,0.008,0.933,0,0.006,0.002,0.001,0.008,0
Geoje15,GE011215_16,0.001,0,0.996,0,0,0,0.001,0,0
Geoje15,GE011215_18,0.184,0,0.813,0,0,0.001,0,0.002,0
Geoje15,GE011215_19,0.002,0,0.997,0,0,0,0,0.001,0
Geoje15,GE011215_20,0.008,0.002,0.932,0.002,0.01,0,0,0.045,0
Geoje15,GE011215_21,0.04,0.001,0.861,0.046,0.001,0.007,0,0.008,0.036
Geoje15,GE011215_22,0.006,0.001,0.952,0,0,0.001,0.001,0.036,0.002
Geoje15,GE011215_24,0.007,0.002,0.962,0,0.001,0,0.003,0.025,0
Geoje15,GE011215_28,0.02,0.001,0.972,0.002,0,0.001,0.002,0.002,0
Geoje15,GE011215_29,0.005,0.002,0.991,0.001,0,0,0,0,0.001
Geoje15,GE011215_30,0.046,0.002,0.832,0.119,0,0.001,0,0.001,0
Geoje15,GE012315_01,0.061,0.005,0.905,0.003,0.004,0,0,0,0.021
Geoje15,GE012315_03,0.146,0.053,0.798,0,0.002,0,0,0,0
Geoje15,GE012315_04,0.281,0,0.211,0,0.001,0.002,0.505,0,0
Geoje15,GE012315_05,0.005,0.002,0.002,0,0,0.001,0.988,0.001,0.001
Geoje15,GE012315_06,0.004,0.003,0.02,0.002,0.001,0.003,0.964,0.001,0.002
Geoje15,GE012315_08,0.069,0.018,0.867,0.004,0.009,0.013,0.014,0,0.006
Geoje15,GE012315_10,0.081,0.025,0.873,0.001,0.003,0,0.001,0.002,0.014
Geoje15,GE012315_17,0.004,0.002,0.965,0.019,0.006,0.002,0,0.002,0
Geoje15,GE012315_20,0.109,0.013,0.874,0,0,0.001,0.001,0.002,0
Geoje15,GE012315_22,0.005,0,0.921,0.001,0,0,0,0.072,0
Geoje15,GEO012315_0,0.132,0.002,0.846,0.003,0.016,0,0,0,0
Geoje15,GEO012315_1,0.133,0.004,0.836,0.001,0,0,0.003,0.022,0
Geoje15,GEO012315_1,0.028,0.002,0.965,0.002,0.001,0,0,0.001,0
Geoje15,GEO012315_2,0.067,0,0.857,0,0.011,0,0.001,0.062,0
Geoje15,GE011215_11,0.13,0.028,0.8,0.033,0.003,0.002,0.002,0,0.001
Namhae15,NA021015_02,0.005,0.002,0.984,0.002,0.002,0,0,0.002,0.002
Namhae15,NA021015_03,0.175,0,0.719,0.046,0.002,0,0.057,0.001,0
Namhae15,NA021015_08,0.026,0.002,0.897,0.019,0.001,0.002,0.044,0.001,0.009
Namhae15,NA021015_13,0.045,0.001,0.126,0.251,0,0.001,0.577,0,0
Namhae15,NA021015_14,0.194,0.001,0.803,0,0,0,0,0.001,0
Namhae15,NA021015_16,0.099,0.001,0.843,0.005,0.05,0,0,0,0
Namhae15,NA021015_17,0.053,0.001,0.922,0.014,0.001,0.001,0,0.002,0.006
Namhae15,NA021015_21,0.006,0.001,0.983,0.004,0.001,0.001,0.001,0.001,0.002
Namhae15,NA021015_22,0.009,0.002,0.064,0,0,0.003,0.917,0,0.004
Namhae15,NA021015_23,0.188,0.002,0.694,0.002,0,0.001,0.001,0.111,0
Namhae15,NA021015_25,0.031,0.005,0.929,0.014,0.001,0,0.019,0,0
Namhae15,NA021015_26,0.03,0.002,0.91,0.035,0.004,0.001,0.005,0,0.012
Namhae15,NA021015_30,0.015,0.011,0.007,0.002,0.026,0.001,0.937,0,0
SeaBlock16,YS_121316_0,0.009,0.001,0,0.051,0.003,0.026,0.909,0,0.001
SeaBlock16,YS_121316_0,0.011,0.005,0.004,0.001,0.006,0.009,0.963,0,0.002
SeaBlock16,YS_121316_0,0.011,0.001,0,0.025,0.001,0.005,0.954,0,0.002
SeaBlock16,YS_121316_1,0.062,0.115,0.001,0.027,0.006,0.002,0.787,0,0
SeaBlock16,YS_121316_1,0.009,0.105,0.001,0,0.003,0.004,0.868,0.001,0.009
SeaBlock16,YS_121316_1,0.009,0,0.003,0.001,0.003,0.002,0.971,0.001,0.011
SeaBlock16,YS_121316_2,0.044,0.028,0.016,0.004,0.001,0.023,0.885,0.001,0
SeaBlock16,YS_121316_2,0.092,0.024,0,0.041,0.001,0.001,0.838,0,0.003
SeaBlock16,YS_121316_2,0.005,0.002,0.002,0.007,0.001,0,0.98,0,0.003
SeaBlock16,YS_121316_2,0.005,0,0.034,0.001,0.001,0.005,0.953,0.001,0
SeaBlock16,YS_121316_2,0.009,0.005,0.026,0.039,0.001,0.02,0.889,0.008,0.002
SeaBlock16,YS_121316_2,0.013,0.003,0.008,0.002,0.001,0.001,0.971,0,0.002
SeaBlock16,YS_121316_2,0.005,0.004,0,0.001,0.001,0.002,0.982,0.001,0.004
SeaBlock16,YS_121316_2,0.003,0.002,0.001,0.003,0,0.006,0.976,0,0.01
SeaBlock16,YS121315_08,0.005,0.005,0,0,0.001,0.028,0.958,0,0.003
SeaBlock16,YS121315_10,0.012,0.001,0.15,0.002,0,0.001,0.833,0,0
SeaBlock16,YS121315_12,0.006,0.001,0.001,0,0,0.004,0.987,0,0
SeaBlock16,YS121315_15,0.02,0.001,0.082,0.01,0.001,0.032,0.848,0,0.005
SeaBlock16,YS121315_16,0.012,0.001,0.001,0.002,0,0.001,0.98,0.001,0.002
SeaBlock16,YS121316_30,0.018,0.016,0.004,0.009,0.001,0.002,0.925,0,0.024
SeaBlock16,YS_121316_0,0.003,0.003,0.006,0.002,0.002,0.001,0.983,0,0
SeaBlock16,YS_121316_1,0.003,0.001,0,0.001,0,0,0.992,0,0.001
SeaBlock16,YS_121316_2,0.02,0.165,0.001,0.004,0,0.001,0.806,0,0.002
